network,n,in-avg,in-max,deg-avg,deg-max,mb-avg,mb-max,card.avg,card.max,free.avg,free.max,k-l.avg,k-l.max,|A|,aligned,reversible,ali-rev,ali-irr,opp-rev,opp-irr,single-valued,opt.N,opt.f1,opt.f1-e,opt.shd-s,opt.shd-e,opt.score,std.N,std.f1,std.f1-e,std.shd-s,std.shd-e,std.score,bad.N,bad.f1,bad.f1-e,bad.shd-s,bad.shd-e,bad.score,ratio.f1,ratio.f1-e
cancer,5,0.8,2,1.6,4,2.0,4,2.0,2.0,2.0,4.0,0.16,0.37,4,0.5,0.0,0.0,0.5,0.0,0.5,0.0,10000,1.0,1.0,0.0,0.0,-2.1,1000,0.571,0.0,0.5,1.0,-2.12,1000,0.286,0.0,0.75,1.0,-2.12,3.497,
asia,8,1.0,2,2.0,4,2.5,5,2.0,2.0,2.25,4.0,0.26,0.64,8,0.375,0.375,0.125,0.25,0.25,0.375,0.0,10000,1.0,1.0,0.0,0.0,-2.24,4000,0.5,0.5,0.62,0.62,-2.25,200,0.125,0.0,1.0,1.12,-2.47,8.0,
sports,9,1.67,2,3.33,7,3.56,7,5.11,8.0,116.56,160.0,0.39,1.0,15,0.2,0.867,0.133,0.067,0.733,0.067,0.0,100000,1.0,1.0,0.0,0.0,-10.74,200000,0.75,0.625,0.33,0.47,-10.76,800000,0.182,0.121,1.13,1.2,-10.74,5.495,8.264
sachs,11,1.55,3,3.09,7,3.09,7,3.0,3.0,16.18,54.0,0.33,0.5,17,0.118,1.0,0.118,0.0,0.882,0.0,0.0,1000,0.839,0.774,0.24,0.29,-7.62,5000,0.343,0.971,0.71,0.06,-7.36,5000,0.343,0.971,0.71,0.06,-7.36,2.446,0.797
child,20,1.25,2,2.5,8,3.0,8,3.0,6.0,11.5,36.0,0.3,0.73,25,0.64,0.48,0.32,0.32,0.16,0.2,0.0,10000,1.0,1.0,0.0,0.0,-12.32,2000,0.857,0.898,0.16,0.12,-12.59,2000,0.538,0.692,0.6,0.44,-12.79,1.859,1.445
insurance,27,1.93,3,3.85,9,5.19,10,3.3,5.0,37.33,160.0,0.41,1.18,52,0.442,0.346,0.154,0.288,0.192,0.365,0.0,10000000,0.895,0.914,0.15,0.13,-13.06,10000000,0.692,0.71,0.38,0.37,-13.06,10000,0.479,0.333,0.67,0.81,-13.43,1.868,2.745
property,27,1.15,3,2.3,6,3.41,10,4.89,7.0,113.19,1296.0,0.57,1.79,31,0.613,0.097,0.065,0.548,0.032,0.355,0.0,100000,0.984,0.984,0.03,0.03,-23.38,40000,0.719,0.688,0.35,0.39,-23.53,2000,0.491,0.491,0.71,0.71,-25.95,2.004,2.004
diarrhoea,28,2.43,8,4.86,17,7.93,20,2.61,5.0,61.29,864.0,0.1,0.45,68,0.5,0.412,0.265,0.235,0.147,0.353,0.0,400000,0.859,0.652,0.18,0.38,-19.27,400000,0.853,0.588,0.19,0.46,-19.27,2000000,0.769,0.867,0.29,0.19,-19.26,1.117,0.752
water,32,2.06,5,4.12,8,7.69,13,3.62,4.0,315.09,2304.0,0.84,1.36,66,0.636,0.091,0.091,0.545,0.0,0.364,6.0,10000000,0.765,0.713,0.38,0.42,-12.78,8000000,0.737,0.702,0.41,0.44,-12.78,1000000,0.185,0.185,1.18,1.18,-12.78,4.135,3.854
mildew,35,1.31,3,2.63,5,4.57,9,17.6,100.0,15432.86,277200.0,0.92,4.04,46,0.304,0.0,0.0,0.304,0.0,0.696,0.0,10000000,1.0,1.0,0.0,0.0,-39.4,40000,0.539,0.539,0.67,0.67,-46.28,40000,0.344,0.323,1.0,1.02,-46.42,2.907,3.096
alarm,37,1.24,4,2.49,6,3.51,8,2.84,4.0,13.76,72.0,0.63,1.22,46,0.587,0.087,0.043,0.543,0.043,0.37,0.0,20000,0.839,0.817,0.24,0.26,-10.61,500000,0.598,0.598,0.65,0.65,-10.47,100000,0.426,0.37,0.89,0.96,-10.49,1.969,2.208
barley,48,1.75,4,3.5,8,5.25,13,8.77,67.0,2375.1,35280.0,0.78,2.1,84,0.56,0.107,0.071,0.488,0.036,0.405,2.0,5000000,0.751,0.717,0.45,0.49,-48.74,4000000,0.508,0.497,0.8,0.81,-49.32,4000000,0.396,0.385,1.0,1.01,-49.2,1.896,1.862
hailfinder,56,1.18,4,2.36,17,3.54,17,3.98,11.0,47.43,792.0,0.42,2.4,66,0.455,0.258,0.121,0.333,0.136,0.409,0.0,1000000,0.924,0.924,0.15,0.15,-49.13,2000,0.592,0.592,0.59,0.59,-51.59,10000,0.153,0.125,1.42,1.45,-49.9,6.039,7.392
hepar2,70,1.76,6,3.51,19,4.51,26,2.31,4.0,20.76,288.0,0.08,0.54,123,0.724,0.073,0.033,0.691,0.041,0.236,0.0,8000000,0.956,0.956,0.06,0.06,-32.45,8000000,0.871,0.878,0.17,0.16,-32.45,800000,0.758,0.625,0.3,0.44,-32.46,1.261,1.53
win95pts,76,1.47,7,2.95,10,5.92,29,2.0,2.0,7.55,128.0,0.42,0.69,112,0.527,0.107,0.062,0.464,0.045,0.429,2.0,500000,0.871,0.862,0.2,0.21,-9.04,800000,0.523,0.515,0.87,0.88,-9.03,10000000,0.23,0.248,1.82,1.79,-9.03,3.787,3.476
formed,88,1.57,6,3.14,11,4.98,22,2.58,9.0,10.34,128.0,0.27,1.14,138,0.522,0.174,0.051,0.471,0.123,0.355,0.0,1000000,0.957,0.95,0.08,0.09,-41.59,100000,0.597,0.656,0.62,0.55,-41.67,100000,0.249,0.189,1.25,1.33,-41.66,3.843,5.026
pathfinder,109,1.79,5,3.58,106,3.82,107,4.11,63.0,661.28,6048.0,0.41,1.03,195,0.221,0.626,0.077,0.144,0.549,0.231,6.0,10000000,0.722,0.626,0.46,0.55,-23.57,10000000,0.71,0.645,0.46,0.52,-23.57,10000000,0.654,0.257,0.53,0.91,-23.58,1.104,2.436
